#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
33,,"Atlanta, GA",University of Connecticut,NFC,NFC-South,5,6-1,"Wreh-Wilson, Blidi",CB,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,190
33,,"Denver, CO",Coastal Carolina,AFC,AFC-West,R,5-7,"Henderson, De'Angelo",RB,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,208
37,,"New Orleans, LA",Memphis,NFC,NFC-South,R,5-10,"Maulet, Arthur",CB,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,190
38,,"Green Bay, WI",American International,NFC,NFC-North,R,5-11,"Holmes, Daquan",CB,Packers,https://cpt.azureedge.net/NFLTeamImages/packers.png,http://www.packers.com/team/players.html,187
39,,"Buffalo, NY",Buffalo,AFC,AFC-East,R,6-1,"Johnson, Jordan",RB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,220
39,,"New Orleans, LA",Massachusetts,NFC,NFC-South,R,6-1,"Robinson-Woodgett, John",FB,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,247
4,,"Atlanta, GA",Penn,NFC,NFC-South,R,6'3,"Torgersen, Alek",QB,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,230
40,,"Seattle, WA",Cincinnati,NFC,NFC-West,R,6-1,"Tyson, Michael",CB,Seahawks,https://cpt.azureedge.net/NFLTeamImages/seahawks.png,http://www.seahawks.com/team/roster,207
41,,"Buffalo, NY",Alabama,AFC,AFC-East,1,5-11,"Sylve, Bradley",DB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,180
44,,"Nashville, TN",Texas Christian,AFC,AFC-South,R,6-3,"Carraway, Josh",OLB,Titans,https://cpt.azureedge.net/NFLTeamImages/titans.png,http://www.titansonline.com/team/roster.html,242
45,,"Buffalo, NY",West Georgia,AFC,AFC-East,R,5-10,"Sayles, Marcus",CB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,170
45,,"New Orleans, LA",Brigham Young,NFC,NFC-South,R,6-3,"Tautu, Sae",LB,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,245
46,,"Buffalo, NY",Albany,AFC,AFC-East,R,6-2,"Logan, Abner",LB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,235
46,,"Nashville, TN",Central Michigan,AFC,AFC-South,R,6-1,"Bacci, Joe",FB,Titans,https://cpt.azureedge.net/NFLTeamImages/titans.png,http://www.titansonline.com/team/roster.html,245
47,,"Buffalo, NY",Nicholls State,AFC,AFC-East,R,6-0,"Sanders, B.T.",S,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,195
47,,"New Orleans, LA",Florida,NFC,NFC-South,R,6-3,"Anzalone, Alex",LB,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,240
48,,"Buffalo, NY",Harvard,AFC,AFC-East,1,6-2,"Lindsey, Jacob",LB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,220
5,,"Denver, CO",Georgia,AFC,AFC-West,R,5-7,"McKenzie, Isaiah",WR,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,173
51,,"Buffalo, NY",Boise State,AFC,AFC-East,R,6-1,"Vallejo, Tanner",LB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,228
55,,"Atlanta, GA",Miami (Ohio),NFC,NFC-South,R,6-3,"Jones, J'Terius",DE,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,245
57,,"Denver, CO",Florida St.,AFC,AFC-West,R,6-4,"Walker, DeMarcus",DE,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,280
58,,"Buffalo, NY",Boston College,AFC,AFC-East,R,6-1,"Milano, Matt",LB,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,221
6,,"Denver, CO",Mississippi,AFC,AFC-West,R,6-2,"Kelly, Chad",QB,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,224
63,,"Buffalo, NY",Georgia,AFC,AFC-East,R,6-5,"Pyke, Greg",G,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,320
64,,"Kansas City, MO",USC,AFC,AFC-West,R,6-4,"Mama, Damien",OL,Chiefs,https://cpt.azureedge.net/NFLTeamImages/chiefs.png,http://www.chiefs.com/team/roster.html,325
68,,"Buffalo, NY",New Haven,AFC,AFC-East,R,6-5,"Voytek, Zach",G,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,305
68,,"New Orleans, LA",Auburn,NFC,NFC-South,R,6-2,"Lawrence, Devaroe",DT,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,294
